Node	CRUD	DataFlowValue
if $z1 == 0 goto interfaceinvoke r4.<org.apache.catalina.Context: void reload()>()	R	[r0, r1, r2, r3, $i0, $z0, $r9, $r10, $r11, r4, $r16, $r17, $r18, $z1]
$r32 = virtualinvoke r3.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String,java.lang.Object[])>("managerServlet.exception", $r30)	U	[r0, r1, r2, r3, $i0, $z0, $r23, r24, $r25, $r26, $r27, $r28, $r29, $r30, $r31]
$r19 = virtualinvoke r3.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String)>("managerServlet.noSelf")	U	[r0, r1, r2, r3, $i0, $z0, $r9, $r10, $r11, r4, $r16, $r17, $r18, $z1]
$r13 = virtualinvoke r2.<org.apache.catalina.util.ContextName: java.lang.String getDisplayName()>()	U	[r0, r1, r2, r3, $i0, $z0, $r9, $r10, $r11, r4, $r12]
goto [?= return]	R	[r0, r1, r2, r3, $i0, $z0, $r9, $r10, $r11, r4, $r16, $r17, $r18, $z1, $r20, $r21, $r22]
r24 = $r23	U	[r0, r1, r2, r3, $i0, $z0, $r23]
specialinvoke $r5.<java.lang.StringBuilder: void <init>(java.lang.String)>("restart: Reloading web application \'")	R	[r0, r1, r2, r3, $i0, $r5]
$r31 = virtualinvoke r24.<java.lang.Throwable: java.lang.String toString()>()	U	[r0, r1, r2, r3, $i0, $z0, $r23, r24, $r25, $r26, $r27, $r28, $r29, $r30]
$r20 = newarray (java.lang.Object)[1]	C	[r0, r1, r2, r3, $i0, $z0, $r9, $r10, $r11, r4, $r16, $r17, $r18, $z1]
$r12[0] = $r14	U	[r0, r1, r2, r3, $i0, $z0, $r9, $r10, $r11, r4, $r12, $r13, $r14]
return	R	[r0, r1, r2, r3, $i0, $z0]
$z1 = virtualinvoke $r16.<java.lang.String: boolean equals(java.lang.Object)>($r18)	U	[r0, r1, r2, r3, $i0, $z0, $r9, $r10, $r11, r4, $r16, $r17, $r18]
$r7 = virtualinvoke $r6.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("\'")	U	[r0, r1, r2, r3, $i0, $r5, $r6]
$r26 = virtualinvoke r2.<org.apache.catalina.util.ContextName: java.lang.String getDisplayName()>()	U	[r0, r1, r2, r3, $i0, $z0, $r23, r24, $r25]
$r29 = virtualinvoke $r28.<java.lang.StringBuilder: java.lang.String toString()>()	U	[r0, r1, r2, r3, $i0, $z0, $r23, r24, $r25, $r26, $r27, $r28]
$r30 = newarray (java.lang.Object)[1]	C	[r0, r1, r2, r3, $i0, $z0, $r23, r24, $r25, $r26, $r27, $r28, $r29]
