Node	CRUD	DataFlowValue
specialinvoke $r10.<org.apache.catalina.util.ContextName: void <init>(java.lang.String,java.lang.String)>(r5, $r11)	R	[r0, r1, r2, $r9, r3, r4, r5, r6, $r10, $r11]
$z3 = virtualinvoke r4.<java.lang.String: boolean equals(java.lang.Object)>("/upload")	U	[r0, r1, r2, $r9, r3, r4, r5, r6, r7, $z0, $z1, $z2]
r1 := @parameter0: javax.servlet.http.HttpServletRequest	R	[r0]
$r17[0] = $r18	U	[r0, r1, r2, $r9, r3, r4, r5, r6, r7, $z0, $z1, $z2, $r12, r8, $r13, $r14, $r15, $r16, $r17, $r18]
r7 = virtualinvoke r3.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String,java.lang.Object[])>("managerServlet.postCommand", $r19)	U	[r0, r1, r2, $r9, r3, r4, r5, r6, r7, $z0, $z1, $z2, $z3, $r19]
$r19[0] = r4	U	[r0, r1, r2, $r9, r3, r4, r5, r6, r7, $z0, $z1, $z2, $z3, $r19]
r6 = $r10	U	[r0, r1, r2, $r9, r3, r4, r5, r6, $r10, $r11]
$z6 = virtualinvoke r4.<java.lang.String: boolean equals(java.lang.Object)>("/undeploy")	U	[r0, r1, r2, $r9, r3, r4, r5, r6, r7, $z0, $z1, $z2, $z3, $z4, $z5]
$r20 = newarray (java.lang.Object)[1]	C	[r0, r1, r2, $r9, r3, r4, r5, r6, r7, $z0, $z1, $z2, $z3, $z4, $z5, $z6, $z7, $z8, $z9]
$r15 = virtualinvoke $r14.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("]")	U	[r0, r1, r2, $r9, r3, r4, r5, r6, r7, $z0, $z1, $z2, $r12, r8, $r13, $r14]
if $z2 == 0 goto $z3 = virtualinvoke r4.<java.lang.String: boolean equals(java.lang.Object)>("/upload")	R	[r0, r1, r2, $r9, r3, r4, r5, r6, r7, $z0, $z1, $z2]
virtualinvoke r0.<org.apache.catalina.manager.HTMLManagerServlet: void list(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,java.lang.String,org.apache.tomcat.util.res.StringManager)>(r1, r2, r7, r3)	R	[r0, r1, r2, $r9, r3, r4, r5, r6, r7]
