Node	CRUD	DataFlowValue
if $z5 == 0 goto $z6 = virtualinvoke r4.<java.lang.String: boolean equals(java.lang.Object)>("/stop")	R	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, r11, $i0, $z0, $z1, $z2, $z3, $z4, $z5]
$z6 = virtualinvoke r4.<java.lang.String: boolean equals(java.lang.Object)>("/stop")	U	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, r11, $i0, $z0, $z1, $z2, $z3, $z4, $z5]
r8 = null	U	[r0, r1, r2, $r12, r3, r4, r5, r6, r7]
$z3 = virtualinvoke r4.<java.lang.String: boolean equals(java.lang.Object)>("/undeploy")	U	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, r11, $i0, $z0, $z1, $z2]
virtualinvoke r0.<org.apache.catalina.manager.HTMLManagerServlet: void doGet(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)>(r1, r2)	R	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, r11, $i0, $z0, $z1, $z2, $z3, $z4, $z5, $z6, $z7]
specialinvoke $r13.<org.apache.catalina.util.ContextName: void <init>(java.lang.String,java.lang.String)>(r5, $r14)	R	[r0, r1, r2, $r12, r3, r4, r5, r6, $r13, $r14]
$r16 = interfaceinvoke r1.<javax.servlet.http.HttpServletRequest: java.lang.String getParameter(java.lang.String)>("deployVersion")	U	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, $r15]
if $z7 == 0 goto virtualinvoke r0.<org.apache.catalina.manager.HTMLManagerServlet: void doGet(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)>(r1, r2)	R	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, r11, $i0, $z0, $z1, $z2, $z3, $z4, $z5, $z6, $z7]
r1 := @parameter0: javax.servlet.http.HttpServletRequest	R	[r0]
$i0 = virtualinvoke r4.<java.lang.String: int length()>()	U	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, r11]
if $i0 == 0 goto virtualinvoke r0.<org.apache.catalina.manager.HTMLManagerServlet: void list(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,java.lang.String,org.apache.tomcat.util.res.StringManager)>(r1, r2, r11, r3)	R	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, r11, $i0]
if $z0 == 0 goto $z1 = virtualinvoke r4.<java.lang.String: boolean equals(java.lang.Object)>("/deploy")	R	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, r11, $i0, $z0]
if r5 == null goto r7 = interfaceinvoke r1.<javax.servlet.http.HttpServletRequest: java.lang.String getParameter(java.lang.String)>("deployPath")	R	[r0, r1, r2, $r12, r3, r4, r5, r6]
if r4 == null goto virtualinvoke r0.<org.apache.catalina.manager.HTMLManagerServlet: void list(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,java.lang.String,org.apache.tomcat.util.res.StringManager)>(r1, r2, r11, r3)	R	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, r11]
$z2 = virtualinvoke r4.<java.lang.String: boolean equals(java.lang.Object)>("/reload")	U	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, r11, $i0, $z0, $z1]
