Node	CRUD	DataFlowValue
$r29 = newarray (java.lang.Object)[1]	C	[r0, r1, r2, r3, $i0, $z0, r4, $r21, r22, $r23, $r24, $r25, $r26, $r27, $r28]
$r19[0] = r4	U	[r0, r1, r2, r3, $i0, $z0, r4, $r10, $r11, $r12, r5, $r16, $z1, $r19]
interfaceinvoke r5.<org.apache.catalina.Context: void start()>()	R	[r0, r1, r2, r3, $i0, $z0, r4, $r10, $r11, $r12, r5]
staticinvoke <org.apache.tomcat.util.ExceptionUtils: void handleThrowable(java.lang.Throwable)>(r22)	R	[r0, r1, r2, r3, $i0, $z0, r4, $r21, r22]
$r12 = interfaceinvoke $r10.<org.apache.catalina.Host: org.apache.catalina.Container findChild(java.lang.String)>($r11)	U	[r0, r1, r2, r3, $i0, $z0, r4, $r10, $r11]
$r15 = virtualinvoke r3.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String,java.lang.Object[])>("managerServlet.noContext", $r13)	U	[r0, r1, r2, r3, $i0, $z0, r4, $r10, $r11, $r12, r5, $r13, $r14]
return	R	[r0, r1, r2, r3, $i0, $z0, r4]
interfaceinvoke $r23.<javax.servlet.ServletContext: void log(java.lang.String,java.lang.Throwable)>($r26, r22)	R	[r0, r1, r2, r3, $i0, $z0, r4, $r21, r22, $r23, $r24, $r25, $r26]
r4 = virtualinvoke r2.<org.apache.catalina.util.ContextName: java.lang.String getDisplayName()>()	U	[r0, r1, r2, r3, $i0, $z0]
$r17 = newarray (java.lang.Object)[1]	C	[r0, r1, r2, r3, $i0, $z0, r4, $r10, $r11, $r12, r5, $r16, $z1]
$r27 = newarray (java.lang.Object)[1]	C	[r0, r1, r2, r3, $i0, $z0, r4, $r21, r22, $r23, $r24, $r25, $r26]
$r21 := @caughtexception	R	[r0, r1, r2, r3, $i0, $z0, r4]
virtualinvoke r0.<org.apache.catalina.manager.ManagerServlet: void log(java.lang.String)>($r9)	R	[r0, r1, r2, r3, $i0, $r6, $r7, $r8, $r9]
$r19 = newarray (java.lang.Object)[1]	C	[r0, r1, r2, r3, $i0, $z0, r4, $r10, $r11, $r12, r5, $r16, $z1]
$r23 = virtualinvoke r0.<org.apache.catalina.manager.ManagerServlet: javax.servlet.ServletContext getServletContext()>()	U	[r0, r1, r2, r3, $i0, $z0, r4, $r21, r22]
virtualinvoke r1.<java.io.PrintWriter: void println(java.lang.String)>($r28)	R	[r0, r1, r2, r3, $i0, $z0, r4, $r21, r22, $r23, $r24, $r25, $r26, $r27, $r28]
virtualinvoke r1.<java.io.PrintWriter: void println(java.lang.String)>($r18)	R	[r0, r1, r2, r3, $i0, $z0, r4, $r10, $r11, $r12, r5, $r16, $z1, $r17, $r18]
if r5 != null goto interfaceinvoke r5.<org.apache.catalina.Context: void start()>()	R	[r0, r1, r2, r3, $i0, $z0, r4, $r10, $r11, $r12, r5]
