Node	CRUD	DataFlowValue
$z1 = interfaceinvoke r18.<java.util.Iterator: boolean hasNext()>()	U	[r0, $r6, $r7, r1, $r8, r2, $r9, r3, r4, $z0, r13, $r14, r15, $r16, r17, r18]
if $z2 != 0 goto $r29 = interfaceinvoke r28.<java.util.Iterator: java.lang.Object next()>()	R	[r0, $r6, $r7, r1, $r8, r2, $r9, r3, r4, $z0, r13, $r14, r15, $r16, r17, r18, $z1, r23, $r24, r25, $r26, r27, r28, $z2]
specialinvoke $r8.<javax.management.ObjectName: void <init>(java.lang.String)>(r1)	R	[r0, $r6, $r7, r1, $r8]
r13 = "*:type=ThreadPool,*"	U	[r0, $r6, $r7, r1, $r8, r2, $r9, r3, r4, $z0]
$z2 = interfaceinvoke r28.<java.util.Iterator: boolean hasNext()>()	U	[r0, $r6, $r7, r1, $r8, r2, $r9, r3, r4, $z0, r13, $r14, r15, $r16, r17, r18, $z1, r23, $r24, r25, $r26, r27, r28]
r18 = interfaceinvoke r17.<java.util.Set: java.util.Iterator iterator()>()	U	[r0, $r6, $r7, r1, $r8, r2, $r9, r3, r4, $z0, r13, $r14, r15, $r16, r17]
virtualinvoke $r31.<java.util.Vector: void addElement(java.lang.Object)>($r32)	R	[r0, $r6, $r7, r1, $r8, r2, $r9, r3, r4, $z0, r13, $r14, r15, $r16, r17, r18, $z1, r23, $r24, r25, $r26, r27, r28, $z2, $r29, r30, $r31, $r32]
$r36 = r0.<org.apache.catalina.manager.StatusManagerServlet: javax.management.MBeanServer mBeanServer>	U	[r0, $r6, $r7, r1, $r8, r2, $r9, r3, r4, $z0, r13, $r14, r15, $r16, r17, r18, $z1, r23, $r24, r25, $r26, r27, r28, $z2, r33, $r34, r35]
r27 = interfaceinvoke $r26.<javax.management.MBeanServer: java.util.Set queryMBeans(javax.management.ObjectName,javax.management.QueryExp)>(r25, null)	U	[r0, $r6, $r7, r1, $r8, r2, $r9, r3, r4, $z0, r13, $r14, r15, $r16, r17, r18, $z1, r23, $r24, r25, $r26]
$r10 = interfaceinvoke r4.<java.util.Iterator: java.lang.Object next()>()	U	[r0, $r6, $r7, r1, $r8, r2, $r9, r3, r4, $z0]
r43 = "JMImplementation:type=MBeanServerDelegate"	U	[r0, $r6, $r7, r1, $r8, r2, $r9, r3, r4, $z0, r13, $r14, r15, $r16, r17, r18, $z1, r23, $r24, r25, $r26, r27, r28, $z2, r33, $r34, r35, $r36, r37, r38, $z3]
virtualinvoke $r21.<java.util.Vector: void addElement(java.lang.Object)>($r22)	R	[r0, $r6, $r7, r1, $r8, r2, $r9, r3, r4, $z0, r13, $r14, r15, $r16, r17, r18, $z1, $r19, r20, $r21, $r22]
$r7 = virtualinvoke $r6.<org.apache.tomcat.util.modeler.Registry: javax.management.MBeanServer getMBeanServer()>()	U	[r0, $r6]
r1 = "*:type=ProtocolHandler,*"	U	[r0, $r6, $r7]
r45 = $r44	U	[r0, $r6, $r7, r1, $r8, r2, $r9, r3, r4, $z0, r13, $r14, r15, $r16, r17, r18, $z1, r23, $r24, r25, $r26, r27, r28, $z2, r33, $r34, r35, $r36, r37, r38, $z3, r43, $r44]
$r14 = new javax.management.ObjectName	C	[r0, $r6, $r7, r1, $r8, r2, $r9, r3, r4, $z0, r13]
r37 = interfaceinvoke $r36.<javax.management.MBeanServer: java.util.Set queryMBeans(javax.management.ObjectName,javax.management.QueryExp)>(r35, null)	U	[r0, $r6, $r7, r1, $r8, r2, $r9, r3, r4, $z0, r13, $r14, r15, $r16, r17, r18, $z1, r23, $r24, r25, $r26, r27, r28, $z2, r33, $r34, r35, $r36]
$r21 = r0.<org.apache.catalina.manager.StatusManagerServlet: java.util.Vector threadPools>	U	[r0, $r6, $r7, r1, $r8, r2, $r9, r3, r4, $z0, r13, $r14, r15, $r16, r17, r18, $z1, $r19, r20]
r28 = interfaceinvoke r27.<java.util.Set: java.util.Iterator iterator()>()	U	[r0, $r6, $r7, r1, $r8, r2, $r9, r3, r4, $z0, r13, $r14, r15, $r16, r17, r18, $z1, r23, $r24, r25, $r26, r27]
r30 = (javax.management.ObjectInstance) $r29	U	[r0, $r6, $r7, r1, $r8, r2, $r9, r3, r4, $z0, r13, $r14, r15, $r16, r17, r18, $z1, r23, $r24, r25, $r26, r27, r28, $z2, $r29]
r2 = $r8	U	[r0, $r6, $r7, r1, $r8]
if $z3 != 0 goto $r39 = interfaceinvoke r38.<java.util.Iterator: java.lang.Object next()>()	R	[r0, $r6, $r7, r1, $r8, r2, $r9, r3, r4, $z0, r13, $r14, r15, $r16, r17, r18, $z1, r23, $r24, r25, $r26, r27, r28, $z2, r33, $r34, r35, $r36, r37, r38, $z3]
$r16 = r0.<org.apache.catalina.manager.StatusManagerServlet: javax.management.MBeanServer mBeanServer>	U	[r0, $r6, $r7, r1, $r8, r2, $r9, r3, r4, $z0, r13, $r14, r15]
goto [?= return]	R	[r0, $r6, $r7, r1, $r8, r2, $r9, r3, r4, $z0, r13, $r14, r15, $r16, r17, r18, $z1, r23, $r24, r25, $r26, r27, r28, $z2, r33, $r34, r35, $r36, r37, r38, $z3, r43, $r44, r45, $r46]
specialinvoke $r34.<javax.management.ObjectName: void <init>(java.lang.String)>(r33)	R	[r0, $r6, $r7, r1, $r8, r2, $r9, r3, r4, $z0, r13, $r14, r15, $r16, r17, r18, $z1, r23, $r24, r25, $r26, r27, r28, $z2, r33, $r34]
$z0 = interfaceinvoke r4.<java.util.Iterator: boolean hasNext()>()	U	[r0, $r6, $r7, r1, $r8, r2, $r9, r3, r4]
$r39 = interfaceinvoke r38.<java.util.Iterator: java.lang.Object next()>()	U	[r0, $r6, $r7, r1, $r8, r2, $r9, r3, r4, $z0, r13, $r14, r15, $r16, r17, r18, $z1, r23, $r24, r25, $r26, r27, r28, $z2, r33, $r34, r35, $r36, r37, r38, $z3]
if $z1 != 0 goto $r19 = interfaceinvoke r18.<java.util.Iterator: java.lang.Object next()>()	R	[r0, $r6, $r7, r1, $r8, r2, $r9, r3, r4, $z0, r13, $r14, r15, $r16, r17, r18, $z1]
r20 = (javax.management.ObjectInstance) $r19	U	[r0, $r6, $r7, r1, $r8, r2, $r9, r3, r4, $z0, r13, $r14, r15, $r16, r17, r18, $z1, $r19]
$r22 = virtualinvoke r20.<javax.management.ObjectInstance: javax.management.ObjectName getObjectName()>()	U	[r0, $r6, $r7, r1, $r8, r2, $r9, r3, r4, $z0, r13, $r14, r15, $r16, r17, r18, $z1, $r19, r20, $r21]
virtualinvoke r48.<java.lang.Exception: void printStackTrace()>()	R	[r0, $r6, $r7, $r47, r48]
return	R	[r0, $r6, $r7]
$r12 = virtualinvoke r5.<javax.management.ObjectInstance: javax.management.ObjectName getObjectName()>()	U	[r0, $r6, $r7, r1, $r8, r2, $r9, r3, r4, $z0, $r10, r5, $r11]
$r34 = new javax.management.ObjectName	C	[r0, $r6, $r7, r1, $r8, r2, $r9, r3, r4, $z0, r13, $r14, r15, $r16, r17, r18, $z1, r23, $r24, r25, $r26, r27, r28, $z2, r33]
r5 = (javax.management.ObjectInstance) $r10	U	[r0, $r6, $r7, r1, $r8, r2, $r9, r3, r4, $z0, $r10]
specialinvoke $r14.<javax.management.ObjectName: void <init>(java.lang.String)>(r13)	R	[r0, $r6, $r7, r1, $r8, r2, $r9, r3, r4, $z0, r13, $r14]
virtualinvoke $r41.<java.util.Vector: void addElement(java.lang.Object)>($r42)	R	[r0, $r6, $r7, r1, $r8, r2, $r9, r3, r4, $z0, r13, $r14, r15, $r16, r17, r18, $z1, r23, $r24, r25, $r26, r27, r28, $z2, r33, $r34, r35, $r36, r37, r38, $z3, $r39, r40, $r41, $r42]
virtualinvoke $r11.<java.util.Vector: void addElement(java.lang.Object)>($r12)	R	[r0, $r6, $r7, r1, $r8, r2, $r9, r3, r4, $z0, $r10, r5, $r11, $r12]
$r31 = r0.<org.apache.catalina.manager.StatusManagerServlet: java.util.Vector globalRequestProcessors>	U	[r0, $r6, $r7, r1, $r8, r2, $r9, r3, r4, $z0, r13, $r14, r15, $r16, r17, r18, $z1, r23, $r24, r25, $r26, r27, r28, $z2, $r29, r30]
$r29 = interfaceinvoke r28.<java.util.Iterator: java.lang.Object next()>()	U	[r0, $r6, $r7, r1, $r8, r2, $r9, r3, r4, $z0, r13, $r14, r15, $r16, r17, r18, $z1, r23, $r24, r25, $r26, r27, r28, $z2]
$r8 = new javax.management.ObjectName	C	[r0, $r6, $r7, r1]
r17 = interfaceinvoke $r16.<javax.management.MBeanServer: java.util.Set queryMBeans(javax.management.ObjectName,javax.management.QueryExp)>(r15, null)	U	[r0, $r6, $r7, r1, $r8, r2, $r9, r3, r4, $z0, r13, $r14, r15, $r16]
$r44 = new javax.management.ObjectName	C	[r0, $r6, $r7, r1, $r8, r2, $r9, r3, r4, $z0, r13, $r14, r15, $r16, r17, r18, $z1, r23, $r24, r25, $r26, r27, r28, $z2, r33, $r34, r35, $r36, r37, r38, $z3, r43]
$r19 = interfaceinvoke r18.<java.util.Iterator: java.lang.Object next()>()	U	[r0, $r6, $r7, r1, $r8, r2, $r9, r3, r4, $z0, r13, $r14, r15, $r16, r17, r18, $z1]
$r24 = new javax.management.ObjectName	C	[r0, $r6, $r7, r1, $r8, r2, $r9, r3, r4, $z0, r13, $r14, r15, $r16, r17, r18, $z1, r23]
r25 = $r24	U	[r0, $r6, $r7, r1, $r8, r2, $r9, r3, r4, $z0, r13, $r14, r15, $r16, r17, r18, $z1, r23, $r24]
