Node	CRUD	DataFlowValue
$r31 = interfaceinvoke r30.<java.util.Iterator: java.lang.Object next()>()	U	[r0, r1, r2, $r9, $z0, $r15, $r16, $r17, r18, r4, $r24, r5, $r25, $r26, $z3, $z4, $r27, r6, r7, $z6, r30, $z8]
$r12 = newarray (java.lang.Object)[1]	C	[r0, r1, r2, r3, $r11]
if $z3 == 0 goto return r5	R	[r0, r1, r2, $r9, $z0, $r15, $r16, $r17, r18, r4, $r24, r5, $r25, $r26, $z3]
r4 = interfaceinvoke r18.<org.apache.catalina.Context: org.apache.catalina.Manager getManager()>()	U	[r0, r1, r2, $r9, $z0, $r15, $r16, $r17, r18]
if $z1 != 0 goto $r15 = r0.<org.apache.catalina.manager.HTMLManagerServlet: org.apache.catalina.Host host>	R	[r0, r1, r2, $r9, $z0, $r10, $z1]
r30 = interfaceinvoke r6.<java.util.Set: java.util.Iterator iterator()>()	U	[r0, r1, r2, $r9, $z0, $r15, $r16, $r17, r18, r4, $r24, r5, $r25, $r26, $z3, $z4, $r27, r6, r7, $z6]
if $z0 != 0 goto $r15 = r0.<org.apache.catalina.manager.HTMLManagerServlet: org.apache.catalina.Host host>	R	[r0, r1, r2, $r9, $z0]
goto [?= $z8 = interfaceinvoke r30.<java.util.Iterator: boolean hasNext()>()]	R	[r0, r1, r2, $r9, $z0, $r15, $r16, $r17, r18, r4, $r24, r5, $r25, $r26, $z3, $z4, $r27, r6, r7, $z6, r30]
r3 = virtualinvoke r1.<org.apache.catalina.util.ContextName: java.lang.String getPath()>()	U	[r0, r1, r2, r3]
$r28 = interfaceinvoke r7.<java.util.Iterator: java.lang.Object next()>()	U	[r0, r1, r2, $r9, $z0, $r15, $r16, $r17, r18, r4, $r24, r5, $r25, $r26, $z3, $z4, $r27, r6, r7, $z6]
if $z8 != 0 goto $r31 = interfaceinvoke r30.<java.util.Iterator: java.lang.Object next()>()	R	[r0, r1, r2, $r9, $z0, $r15, $r16, $r17, r18, r4, $r24, r5, $r25, $r26, $z3, $z4, $r27, r6, r7, $z6, r30, $z8]
$r16 = virtualinvoke r1.<org.apache.catalina.util.ContextName: java.lang.String getName()>()	U	[r0, r1, r2, $r9, $z0, $r15]
$r20 = newarray (java.lang.Object)[1]	C	[r0, r1, r2, $r9, $z0, $r15, $r16, $r17, r18, $r19]
specialinvoke $r24.<java.util.ArrayList: void <init>()>()	R	[r0, r1, r2, $r9, $z0, $r15, $r16, $r17, r18, r4, $r24]
$r12[0] = $r13	U	[r0, r1, r2, r3, $r11, $r12, $r13]
$r23 = virtualinvoke r2.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String,java.lang.Object[])>("managerServlet.noContext", $r20)	U	[r0, r1, r2, $r9, $z0, $r15, $r16, $r17, r18, $r19, $r20, $r21, $r22]
$r17 = interfaceinvoke $r15.<org.apache.catalina.Host: org.apache.catalina.Container findChild(java.lang.String)>($r16)	U	[r0, r1, r2, $r9, $z0, $r15, $r16]
$r19 = new java.lang.IllegalArgumentException	C	[r0, r1, r2, $r9, $z0, $r15, $r16, $r17, r18]
$z6 = interfaceinvoke r7.<java.util.Iterator: boolean hasNext()>()	U	[r0, r1, r2, $r9, $z0, $r15, $r16, $r17, r18, r4, $r24, r5, $r25, $r26, $z3, $z4, $r27, r6, r7]
$z0 = virtualinvoke $r9.<java.lang.String: boolean startsWith(java.lang.String)>("/")	U	[r0, r1, r2, $r9]
if $z6 != 0 goto $r28 = interfaceinvoke r7.<java.util.Iterator: java.lang.Object next()>()	R	[r0, r1, r2, $r9, $z0, $r15, $r16, $r17, r18, r4, $r24, r5, $r25, $r26, $z3, $z4, $r27, r6, r7, $z6]
$z4 = r0.<org.apache.catalina.manager.HTMLManagerServlet: boolean showProxySessions>	U	[r0, r1, r2, $r9, $z0, $r15, $r16, $r17, r18, r4, $r24, r5, $r25, $r26, $z3]
interfaceinvoke r6.<java.util.Set: boolean remove(java.lang.Object)>($r29)	R	[r0, r1, r2, $r9, $z0, $r15, $r16, $r17, r18, r4, $r24, r5, $r25, $r26, $z3, $z4, $r27, r6, r7, $z6, $r28, r8, $r29]
if r1 == null goto r3 = null	R	[r0, r1, r2]
r6 = interfaceinvoke $r27.<org.apache.catalina.DistributedManager: java.util.Set getSessionIdsFull()>()	U	[r0, r1, r2, $r9, $z0, $r15, $r16, $r17, r18, r4, $r24, r5, $r25, $r26, $z3, $z4, $r27]
