Node	CRUD	DataFlowValue
$z14 = virtualinvoke r4.<java.lang.String: boolean equals(java.lang.Object)>("/undeploy")	U	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, z0, $r15, z1, $r17, $r18, $z3, r11, $z4, $z5, $z6, $z7, $z8, $z9, $z10, $z11, $z12, $z13]
if $z7 == 0 goto $z8 = virtualinvoke r4.<java.lang.String: boolean equals(java.lang.Object)>("/save")	R	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, z0, $r15, z1, $r17, $r18, $z3, r11, $z4, $z5, $z6, $z7]
$r16 = interfaceinvoke r1.<javax.servlet.http.HttpServletRequest: java.lang.String getParameter(java.lang.String)>("update")	U	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, z0, $r15]
if r5 == null goto (branch)	R	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, z0, $r15, z1, $r17, $r18, $z3, r11, $z4]
$r24 = newarray (java.lang.Object)[1]	C	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, z0, $r15, z1, $r17, $r18, $z3, r11, $z4, $z5, $z6, $z7, $z8, $z9, $z10, $z11, $z12, $z13, $z14, $z15, $z16, $z17]
$r21 = virtualinvoke r3.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String,java.lang.Object[])>("managerServlet.invalidCommand", $r20)	U	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, z0, $r15, z1, $r17, $r18, $z3, r11, $z4, $r20]
if $z16 == 0 goto $z17 = virtualinvoke r4.<java.lang.String: boolean equals(java.lang.Object)>("/threaddump")	R	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, z0, $r15, z1, $r17, $r18, $z3, r11, $z4, $z5, $z6, $z7, $z8, $z9, $z10, $z11, $z12, $z13, $z14, $z15, $z16]
z0 = 1	U	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, z0, $r15, $r16, $z2]
z0 = 0	U	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10]
r3 = staticinvoke <org.apache.tomcat.util.res.StringManager: org.apache.tomcat.util.res.StringManager getManager(java.lang.String,java.util.Enumeration)>("org.apache.catalina.manager", $r12)	U	[r0, r1, r2, $r12]
$z10 = virtualinvoke r4.<java.lang.String: boolean equals(java.lang.Object)>("/sessions")	U	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, z0, $r15, z1, $r17, $r18, $z3, r11, $z4, $z5, $z6, $z7, $z8, $z9]
if $z2 == 0 goto z1 = 0	R	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, z0, $r15, $r16, $z2]
if r10 != null goto virtualinvoke r11.<java.io.PrintWriter: void flush()>()	R	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, z0, $r15, z1, $r17, $r18, $z3, r11, $z4]
if $r15 == null goto z1 = 0	R	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, z0, $r15]
r7 = $r13	U	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, $r13, $r14]
r5 = interfaceinvoke r1.<javax.servlet.http.HttpServletRequest: java.lang.String getParameter(java.lang.String)>("config")	U	[r0, r1, r2, $r12, r3, r4]
if $z12 == 0 goto $z13 = virtualinvoke r4.<java.lang.String: boolean equals(java.lang.Object)>("/stop")	R	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, z0, $r15, z1, $r17, $r18, $z3, r11, $z4, $z5, $z6, $z7, $z8, $z9, $z10, $z11, $z12]
$r25 = virtualinvoke r3.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String,java.lang.Object[])>("managerServlet.unknownCommand", $r24)	U	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, z0, $r15, z1, $r17, $r18, $z3, r11, $z4, $z5, $z6, $z7, $z8, $z9, $z10, $z11, $z12, $z13, $z14, $z15, $z16, $z17, $r24]
r7 = null	U	[r0, r1, r2, $r12, r3, r4, r5, r6]
$z12 = virtualinvoke r4.<java.lang.String: boolean equals(java.lang.Object)>("/start")	U	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, z0, $r15, z1, $r17, $r18, $z3, r11, $z4, $z5, $z6, $z7, $z8, $z9, $z10, $z11]
$r18 = interfaceinvoke r1.<javax.servlet.http.HttpServletRequest: java.lang.String getParameter(java.lang.String)>("statusLine")	U	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, z0, $r15, z1, $r17]
if $z9 == 0 goto $z10 = virtualinvoke r4.<java.lang.String: boolean equals(java.lang.Object)>("/sessions")	R	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, z0, $r15, z1, $r17, $r18, $z3, r11, $z4, $z5, $z6, $z7, $z8, $z9]
r9 = interfaceinvoke r1.<javax.servlet.http.HttpServletRequest: java.lang.String getParameter(java.lang.String)>("war")	U	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8]
r8 = interfaceinvoke r1.<javax.servlet.http.HttpServletRequest: java.lang.String getParameter(java.lang.String)>("type")	U	[r0, r1, r2, $r12, r3, r4, r5, r6, r7]
virtualinvoke r0.<org.apache.catalina.manager.ManagerServlet: void list(java.io.PrintWriter,org.apache.tomcat.util.res.StringManager)>(r11, r3)	R	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, z0, $r15, z1, $r17, $r18, $z3, r11, $z4, $z5]
$z5 = virtualinvoke r4.<java.lang.String: boolean equals(java.lang.Object)>("/list")	U	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, z0, $r15, z1, $r17, $r18, $z3, r11, $z4]
$r20[0] = r4	U	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, z0, $r15, z1, $r17, $r18, $z3, r11, $z4, $r20]
virtualinvoke r0.<org.apache.catalina.manager.ManagerServlet: void threadDump(java.io.PrintWriter,org.apache.tomcat.util.res.StringManager,java.util.Enumeration)>(r11, r3, $r23)	R	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, z0, $r15, z1, $r17, $r18, $z3, r11, $z4, $z5, $z6, $z7, $z8, $z9, $z10, $z11, $z12, $z13, $z14, $z15, $z16, $z17, $r23]
virtualinvoke r0.<org.apache.catalina.manager.ManagerServlet: void stop(java.io.PrintWriter,org.apache.catalina.util.ContextName,org.apache.tomcat.util.res.StringManager)>(r11, r7, r3)	R	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, z0, $r15, z1, $r17, $r18, $z3, r11, $z4, $z5, $z6, $z7, $z8, $z9, $z10, $z11, $z12, $z13]
$z6 = virtualinvoke r4.<java.lang.String: boolean equals(java.lang.Object)>("/reload")	U	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, z0, $r15, z1, $r17, $r18, $z3, r11, $z4, $z5]
if $z14 == 0 goto $z15 = virtualinvoke r4.<java.lang.String: boolean equals(java.lang.Object)>("/findleaks")	R	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, z0, $r15, z1, $r17, $r18, $z3, r11, $z4, $z5, $z6, $z7, $z8, $z9, $z10, $z11, $z12, $z13, $z14]
if $z6 == 0 goto $z7 = virtualinvoke r4.<java.lang.String: boolean equals(java.lang.Object)>("/resources")	R	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, z0, $r15, z1, $r17, $r18, $z3, r11, $z4, $z5, $z6]
virtualinvoke r11.<java.io.PrintWriter: void println(java.lang.String)>($r25)	R	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, z0, $r15, z1, $r17, $r18, $z3, r11, $z4, $z5, $z6, $z7, $z8, $z9, $z10, $z11, $z12, $z13, $z14, $z15, $z16, $z17, $r24, $r25]
goto [?= virtualinvoke r11.<java.io.PrintWriter: void flush()>()]	R	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, z0, $r15, z1, $r17, $r18, $z3, r11, $z4, $z5, $z6, $z7, $z8, $z9, $z10, $z11, $z12, $z13, $z14, $z15, $z16, $z17, $r23]
r1 := @parameter0: javax.servlet.http.HttpServletRequest	R	[r0]
r6 = interfaceinvoke r1.<javax.servlet.http.HttpServletRequest: java.lang.String getParameter(java.lang.String)>("path")	U	[r0, r1, r2, $r12, r3, r4, r5]
$r19 = virtualinvoke r3.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String)>("managerServlet.noCommand")	U	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, z0, $r15, z1, $r17, $r18, $z3, r11]
virtualinvoke r0.<org.apache.catalina.manager.ManagerServlet: void vmInfo(java.io.PrintWriter,org.apache.tomcat.util.res.StringManager,java.util.Enumeration)>(r11, r3, $r22)	R	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, z0, $r15, z1, $r17, $r18, $z3, r11, $z4, $z5, $z6, $z7, $z8, $z9, $z10, $z11, $z12, $z13, $z14, $z15, $z16, $r22]
if $z13 == 0 goto $z14 = virtualinvoke r4.<java.lang.String: boolean equals(java.lang.Object)>("/undeploy")	R	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, z0, $r15, z1, $r17, $r18, $z3, r11, $z4, $z5, $z6, $z7, $z8, $z9, $z10, $z11, $z12, $z13]
virtualinvoke r0.<org.apache.catalina.manager.ManagerServlet: void reload(java.io.PrintWriter,org.apache.catalina.util.ContextName,org.apache.tomcat.util.res.StringManager)>(r11, r7, r3)	R	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, z0, $r15, z1, $r17, $r18, $z3, r11, $z4, $z5, $z6]
r11 = interfaceinvoke r2.<javax.servlet.http.HttpServletResponse: java.io.PrintWriter getWriter()>()	U	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, z0, $r15, z1, $r17, $r18, $z3]
$z16 = virtualinvoke r4.<java.lang.String: boolean equals(java.lang.Object)>("/vminfo")	U	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, z0, $r15, z1, $r17, $r18, $z3, r11, $z4, $z5, $z6, $z7, $z8, $z9, $z10, $z11, $z12, $z13, $z14, $z15]
z1 = 1	U	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, z0, $r15, z1, $r17, $r18, $z3]
z1 = 0	U	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, z0, $r15]
virtualinvoke r0.<org.apache.catalina.manager.ManagerServlet: void serverinfo(java.io.PrintWriter,org.apache.tomcat.util.res.StringManager)>(r11, r3)	R	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, z0, $r15, z1, $r17, $r18, $z3, r11, $z4, $z5, $z6, $z7, $z8, $z9]
$r14 = interfaceinvoke r1.<javax.servlet.http.HttpServletRequest: java.lang.String getParameter(java.lang.String)>("version")	U	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, $r13]
$r23 = interfaceinvoke r1.<javax.servlet.http.HttpServletRequest: java.util.Enumeration getLocales()>()	U	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, z0, $r15, z1, $r17, $r18, $z3, r11, $z4, $z5, $z6, $z7, $z8, $z9, $z10, $z11, $z12, $z13, $z14, $z15, $z16, $z17]
$r13 = new org.apache.catalina.util.ContextName	C	[r0, r1, r2, $r12, r3, r4, r5, r6, r7]
$r22 = interfaceinvoke r1.<javax.servlet.http.HttpServletRequest: java.util.Enumeration getLocales()>()	U	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, z0, $r15, z1, $r17, $r18, $z3, r11, $z4, $z5, $z6, $z7, $z8, $z9, $z10, $z11, $z12, $z13, $z14, $z15, $z16]
virtualinvoke r11.<java.io.PrintWriter: void flush()>()	R	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, z0, $r15, z1, $r17, $r18, $z3, r11]
$r20 = newarray (java.lang.Object)[1]	C	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, z0, $r15, z1, $r17, $r18, $z3, r11, $z4]
return	R	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, z0, $r15, z1, $r17, $r18, $z3, r11]
$z2 = virtualinvoke $r16.<java.lang.String: boolean equals(java.lang.Object)>("true")	U	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, z0, $r15, $r16]
$r15 = interfaceinvoke r1.<javax.servlet.http.HttpServletRequest: java.lang.String getParameter(java.lang.String)>("update")	U	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, z0]
virtualinvoke r11.<java.io.PrintWriter: void println(java.lang.String)>($r19)	R	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, z0, $r15, z1, $r17, $r18, $z3, r11, $r19]
if $z15 == 0 goto $z16 = virtualinvoke r4.<java.lang.String: boolean equals(java.lang.Object)>("/vminfo")	R	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, z0, $r15, z1, $r17, $r18, $z3, r11, $z4, $z5, $z6, $z7, $z8, $z9, $z10, $z11, $z12, $z13, $z14, $z15]
$z13 = virtualinvoke r4.<java.lang.String: boolean equals(java.lang.Object)>("/stop")	U	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, z0, $r15, z1, $r17, $r18, $z3, r11, $z4, $z5, $z6, $z7, $z8, $z9, $z10, $z11, $z12]
interfaceinvoke r2.<javax.servlet.http.HttpServletResponse: void setHeader(java.lang.String,java.lang.String)>("X-Content-Type-Options", "nosniff")	R	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, z0, $r15, z1, $r17, $r18, $z3]
r4 = interfaceinvoke r1.<javax.servlet.http.HttpServletRequest: java.lang.String getPathInfo()>()	U	[r0, r1, r2, $r12, r3]
$z11 = virtualinvoke r4.<java.lang.String: boolean equals(java.lang.Object)>("/expire")	U	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, z0, $r15, z1, $r17, $r18, $z3, r11, $z4, $z5, $z6, $z7, $z8, $z9, $z10]
virtualinvoke r0.<org.apache.catalina.manager.ManagerServlet: void undeploy(java.io.PrintWriter,org.apache.catalina.util.ContextName,org.apache.tomcat.util.res.StringManager)>(r11, r7, r3)	R	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, z0, $r15, z1, $r17, $r18, $z3, r11, $z4, $z5, $z6, $z7, $z8, $z9, $z10, $z11, $z12, $z13, $z14]
if $z3 == 0 goto interfaceinvoke r2.<javax.servlet.http.HttpServletResponse: void setContentType(java.lang.String)>("text/plain; charset=utf-8")	R	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, z0, $r15, z1, $r17, $r18, $z3]
virtualinvoke r0.<org.apache.catalina.manager.ManagerServlet: void save(java.io.PrintWriter,java.lang.String,org.apache.tomcat.util.res.StringManager)>(r11, r6, r3)	R	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, z0, $r15, z1, $r17, $r18, $z3, r11, $z4, $z5, $z6, $z7, $z8]
if $z8 == 0 goto $z9 = virtualinvoke r4.<java.lang.String: boolean equals(java.lang.Object)>("/serverinfo")	R	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, z0, $r15, z1, $r17, $r18, $z3, r11, $z4, $z5, $z6, $z7, $z8]
virtualinvoke r11.<java.io.PrintWriter: void println(java.lang.String)>($r21)	R	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, z0, $r15, z1, $r17, $r18, $z3, r11, $z4, $r20, $r21]
specialinvoke $r13.<org.apache.catalina.util.ContextName: void <init>(java.lang.String,java.lang.String)>(r6, $r14)	R	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, $r13, $r14]
if r4 != null goto r5 = interfaceinvoke r1.<javax.servlet.http.HttpServletRequest: java.lang.String getParameter(java.lang.String)>("config")	R	[r0, r1, r2, $r12, r3, r4]
if r4 != null goto $z4 = virtualinvoke r4.<java.lang.String: boolean equals(java.lang.Object)>("/deploy")	R	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, z0, $r15, z1, $r17, $r18, $z3, r11]
if $z17 == 0 goto $r24 = newarray (java.lang.Object)[1]	R	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, z0, $r15, z1, $r17, $r18, $z3, r11, $z4, $z5, $z6, $z7, $z8, $z9, $z10, $z11, $z12, $z13, $z14, $z15, $z16, $z17]
virtualinvoke r0.<org.apache.catalina.manager.ManagerServlet: void start(java.io.PrintWriter,org.apache.catalina.util.ContextName,org.apache.tomcat.util.res.StringManager)>(r11, r7, r3)	R	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, z0, $r15, z1, $r17, $r18, $z3, r11, $z4, $z5, $z6, $z7, $z8, $z9, $z10, $z11, $z12]
if $z11 == 0 goto $z12 = virtualinvoke r4.<java.lang.String: boolean equals(java.lang.Object)>("/start")	R	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, z0, $r15, z1, $r17, $r18, $z3, r11, $z4, $z5, $z6, $z7, $z8, $z9, $z10, $z11]
