Node	CRUD	DataFlowValue
$r36 = r0.<org.apache.catalina.manager.ManagerServlet: java.io.File configBase>	U	[r0, $r7, $r8, n0, $r14, $r15, $r16, $r17, r18, $r20, $r21, $r22, $r23, $r24, $r25, r3, $r26, $r27, $z0, $r30, $r31, r4, r5, r6, $r35]
if $z0 != 0 goto $r30 = new java.io.File	R	[r0, $r7, $r8, n0, $r14, $r15, $r16, $r17, r18, $r20, $r21, $r22, $r23, $r24, $r25, r3, $r26, $r27, $z0]
r6 = r4	U	[r0, $r7, $r8, n0, $r14, $r15, $r16, $r17, r18, $r20, $r21, $r22, $r23, $r24, $r25, r3, $r26, $r27, $z0, $r30, $r31, r4, r5, r6, $z1, $z2]
$r19 = interfaceinvoke r18.<org.apache.catalina.Server: javax.naming.Context getGlobalNamingContext()>()	U	[r0, $r7, $r8, n0, $r14, $r15, $r16, $r17, r18]
$r20 = virtualinvoke r0.<org.apache.catalina.manager.ManagerServlet: javax.servlet.ServletContext getServletContext()>()	U	[r0, $r7, $r8, n0, $r14, $r15, $r16, $r17, r18]
specialinvoke $r28.<java.io.File: void <init>(java.lang.String,java.lang.String)>($r29, r3)	R	[r0, $r7, $r8, n0, $r14, $r15, $r16, $r17, r18, $r20, $r21, $r22, $r23, $r24, $r25, r3, $r26, $r27, $z0, $r28, $r29]
$r9 = new javax.servlet.UnavailableException	C	[r0, $r7]
$r13 := @caughtexception	R	[r0, $r7, $r8, n0]
specialinvoke $r9.<javax.servlet.UnavailableException: void <init>(java.lang.String)>($r10)	R	[r0, $r7, $r9, $r1, $r10]
$r38 = new java.lang.StringBuilder	C	[r0, $r7, $r8, n0, $r14, $r15, $r16, $r17, r18, $r20, $r21, $r22, $r23, $r24, $r25, r3, $r26, $r27, $z0, $r30, $r31, r4, r5, r6, $i1]
r4 = r0.<org.apache.catalina.manager.ManagerServlet: org.apache.catalina.Context context>	U	[r0, $r7, $r8, n0, $r14, $r15, $r16, $r17, r18, $r20, $r21, $r22, $r23, $r24, $r25, r3, $r26, $r27, $z0, $r30, $r31]
specialinvoke $r38.<java.lang.StringBuilder: void <init>(java.lang.String)>("init: Associated with Deployer \'")	R	[r0, $r7, $r8, n0, $r14, $r15, $r16, $r17, r18, $r20, $r21, $r22, $r23, $r24, $r25, r3, $r26, $r27, $z0, $r30, $r31, r4, r5, r6, $i1, $r38]
$r37 = interfaceinvoke r5.<org.apache.catalina.Container: java.lang.String getName()>()	U	[r0, $r7, $r8, n0, $r14, $r15, $r16, $r17, r18, $r20, $r21, $r22, $r23, $r24, $r25, r3, $r26, $r27, $z0, $r30, $r31, r4, r5, r6, $r35, $r36]
$r29 = staticinvoke <java.lang.System: java.lang.String getProperty(java.lang.String)>("catalina.base")	U	[r0, $r7, $r8, n0, $r14, $r15, $r16, $r17, r18, $r20, $r21, $r22, $r23, $r24, $r25, r3, $r26, $r27, $z0, $r28]
r0.<org.apache.catalina.manager.ManagerServlet: int debug> = $i0	U	[r0, $r7, $r8, n0, $r11, r12, $i0]
$i1 = r0.<org.apache.catalina.manager.ManagerServlet: int debug>	U	[r0, $r7, $r8, n0, $r14, $r15, $r16, $r17, r18, $r20, $r21, $r22, $r23, $r24, $r25, r3, $r26, $r27, $z0, $r30, $r31, r4, r5, r6]
r0.<org.apache.catalina.manager.ManagerServlet: java.io.File deployed> = $r28	U	[r0, $r7, $r8, n0, $r14, $r15, $r16, $r17, r18, $r20, $r21, $r22, $r23, $r24, $r25, r3, $r26, $r27, $z0, $r28, $r29]
r0.<org.apache.catalina.manager.ManagerServlet: java.io.File deployed> = $r26	U	[r0, $r7, $r8, n0, $r14, $r15, $r16, $r17, r18, $r20, $r21, $r22, $r23, $r24, $r25, r3, $r26]
if $r7 == null goto $r9 = new javax.servlet.UnavailableException	R	[r0, $r7]
$r24 = interfaceinvoke $r23.<org.apache.catalina.Context: org.apache.catalina.Container getParent()>()	U	[r0, $r7, $r8, n0, $r14, $r15, $r16, $r17, r18, $r20, $r21, $r22, $r23]
$r23 = r0.<org.apache.catalina.manager.ManagerServlet: org.apache.catalina.Context context>	U	[r0, $r7, $r8, n0, $r14, $r15, $r16, $r17, r18, $r20, $r21, $r22]
$i0 = staticinvoke <java.lang.Integer: int parseInt(java.lang.String)>(r12)	U	[r0, $r7, $r8, n0, $r11, r12]
$z0 = virtualinvoke $r27.<java.io.File: boolean isAbsolute()>()	U	[r0, $r7, $r8, n0, $r14, $r15, $r16, $r17, r18, $r20, $r21, $r22, $r23, $r24, $r25, r3, $r26, $r27]
$z2 = r4 instanceof org.apache.catalina.Engine	U	[r0, $r7, $r8, n0, $r14, $r15, $r16, $r17, r18, $r20, $r21, $r22, $r23, $r24, $r25, r3, $r26, $r27, $z0, $r30, $r31, r4, r5, r6, $z1]
r0.<org.apache.catalina.manager.ManagerServlet: java.io.File versioned> = $r22	U	[r0, $r7, $r8, n0, $r14, $r15, $r16, $r17, r18, $r20, $r21, $r22]
$z1 = r4 instanceof org.apache.catalina.Host	U	[r0, $r7, $r8, n0, $r14, $r15, $r16, $r17, r18, $r20, $r21, $r22, $r23, $r24, $r25, r3, $r26, $r27, $z0, $r30, $r31, r4, r5, r6]
goto [?= (branch)]	R	[r0, $r7, $r8, n0, $r14, $r15, $r16, $r17, r18, $r20, $r21, $r22, $r23, $r24, $r25, r3, $r26, $r27, $z0, $r30, $r31, r4, r5, r6]
$r7 = r0.<org.apache.catalina.manager.ManagerServlet: org.apache.catalina.Wrapper wrapper>	U	[r0]
$r27 = r0.<org.apache.catalina.manager.ManagerServlet: java.io.File deployed>	U	[r0, $r7, $r8, n0, $r14, $r15, $r16, $r17, r18, $r20, $r21, $r22, $r23, $r24, $r25, r3, $r26]
if $z1 == 0 goto $z2 = r4 instanceof org.apache.catalina.Engine	R	[r0, $r7, $r8, n0, $r14, $r15, $r16, $r17, r18, $r20, $r21, $r22, $r23, $r24, $r25, r3, $r26, $r27, $z0, $r30, $r31, r4, r5, r6, $z1]
