Node	CRUD	DataFlowValue
$r17 = r0.<org.apache.catalina.manager.ManagerServlet: org.apache.catalina.Context context>	U	[r0, r1, r2, r3, $i0, $z0, r4, $r10, $r11, $r12, r5, $r16]
specialinvoke $r24.<java.lang.StringBuilder: void <init>(java.lang.String)>("ManagerServlet.stop[")	R	[r0, r1, r2, r3, $i0, $z0, r4, $r22, r23, $r24]
$r19 = virtualinvoke r3.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String)>("managerServlet.noSelf")	U	[r0, r1, r2, r3, $i0, $z0, r4, $r10, $r11, $r12, r5, $r16, $r17, $r18, $z1]
goto [?= return]	R	[r0, r1, r2, r3, $i0, $z0, r4, $r10, $r11, $r12, r5, $r16, $r17, $r18, $z1, $r20, $r21]
$r20 = newarray (java.lang.Object)[1]	C	[r0, r1, r2, r3, $i0, $z0, r4, $r10, $r11, $r12, r5, $r16, $r17, $r18, $z1]
$r24 = new java.lang.StringBuilder	C	[r0, r1, r2, r3, $i0, $z0, r4, $r22, r23]
$r12 = interfaceinvoke $r10.<org.apache.catalina.Host: org.apache.catalina.Container findChild(java.lang.String)>($r11)	U	[r0, r1, r2, r3, $i0, $z0, r4, $r10, $r11]
$r15 = virtualinvoke r3.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String,java.lang.Object[])>("managerServlet.noContext", $r13)	U	[r0, r1, r2, r3, $i0, $z0, r4, $r10, $r11, $r12, r5, $r13, $r14]
return	R	[r0, r1, r2, r3, $i0, $z0, r4]
r4 = virtualinvoke r2.<org.apache.catalina.util.ContextName: java.lang.String getDisplayName()>()	U	[r0, r1, r2, r3, $i0, $z0]
$z1 = virtualinvoke $r16.<java.lang.String: boolean equals(java.lang.Object)>($r18)	U	[r0, r1, r2, r3, $i0, $z0, r4, $r10, $r11, $r12, r5, $r16, $r17, $r18]
virtualinvoke r1.<java.io.PrintWriter: void println(java.lang.String)>($r30)	R	[r0, r1, r2, r3, $i0, $z0, r4, $r22, r23, $r24, $r25, $r26, $r27, $r28, $r29, $r30]
virtualinvoke r0.<org.apache.catalina.manager.ManagerServlet: void log(java.lang.String)>($r9)	R	[r0, r1, r2, r3, $i0, $r6, $r7, $r8, $r9]
