start	end	CRUD_Test
if $z2 != 0 goto $r8 = interfaceinvoke r4.<java.util.Iterator: java.lang.Object next()>()	virtualinvoke r0.<java.io.PrintWriter: void print(java.lang.String)>("</p>")	0
if $z2 != 0 goto $r8 = interfaceinvoke r4.<java.util.Iterator: java.lang.Object next()>()	$r8 = interfaceinvoke r4.<java.util.Iterator: java.lang.Object next()>()	0
virtualinvoke r0.<java.io.PrintWriter: void print(java.lang.String)>("</p>")	i4 = 0	0
i4 = 0	r14 = interfaceinvoke r3.<java.util.Set: java.util.Iterator iterator()>()	1
r14 = interfaceinvoke r3.<java.util.Set: java.util.Iterator iterator()>()	goto [?= $z3 = interfaceinvoke r14.<java.util.Iterator: boolean hasNext()>()]	1
goto [?= $z3 = interfaceinvoke r14.<java.util.Iterator: boolean hasNext()>()]	$z3 = interfaceinvoke r14.<java.util.Iterator: boolean hasNext()>()	0
$r15 = interfaceinvoke r14.<java.util.Iterator: java.lang.Object next()>()	r16 = (javax.management.ObjectName) $r15	1
r16 = (javax.management.ObjectName) $r15	$r17 = new java.lang.StringBuilder	0
$r17 = new java.lang.StringBuilder	specialinvoke $r17.<java.lang.StringBuilder: void <init>(java.lang.String)>("<a class=\"A.name\" name=\"")	1
specialinvoke $r17.<java.lang.StringBuilder: void <init>(java.lang.String)>("<a class=\"A.name\" name=\"")	$i5 = i4	0
$i5 = i4	i4 = i4 + 1	1
i4 = i4 + 1	$r18 = virtualinvoke $r17.<java.lang.StringBuilder: java.lang.StringBuilder append(int)>($i5)	1
$r18 = virtualinvoke $r17.<java.lang.StringBuilder: java.lang.StringBuilder append(int)>($i5)	$r19 = virtualinvoke $r18.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(".0\">")	1
$r19 = virtualinvoke $r18.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(".0\">")	$r20 = virtualinvoke $r19.<java.lang.StringBuilder: java.lang.String toString()>()	1
$r20 = virtualinvoke $r19.<java.lang.StringBuilder: java.lang.String toString()>()	virtualinvoke r0.<java.io.PrintWriter: void print(java.lang.String)>($r20)	1
virtualinvoke r0.<java.io.PrintWriter: void print(java.lang.String)>($r20)	staticinvoke <org.apache.catalina.manager.StatusTransformer: void writeContext(java.io.PrintWriter,javax.management.ObjectName,javax.management.MBeanServer,int)>(r0, r16, r1, i0)	0
staticinvoke <org.apache.catalina.manager.StatusTransformer: void writeContext(java.io.PrintWriter,javax.management.ObjectName,javax.management.MBeanServer,int)>(r0, r16, r1, i0)	$z3 = interfaceinvoke r14.<java.util.Iterator: boolean hasNext()>()	0
$z3 = interfaceinvoke r14.<java.util.Iterator: boolean hasNext()>()	if $z3 != 0 goto $r15 = interfaceinvoke r14.<java.util.Iterator: java.lang.Object next()>()	1
if $z3 != 0 goto $r15 = interfaceinvoke r14.<java.util.Iterator: java.lang.Object next()>()	return	0
if $z3 != 0 goto $r15 = interfaceinvoke r14.<java.util.Iterator: java.lang.Object next()>()	$r15 = interfaceinvoke r14.<java.util.Iterator: java.lang.Object next()>()	0
