start	end	CRUD_Test
if r13 == null goto virtualinvoke r3.<javax.management.ObjectName: java.lang.String getKeyProperty(java.lang.String)>("j2eeType")	virtualinvoke r3.<javax.management.ObjectName: java.lang.String getKeyProperty(java.lang.String)>("j2eeType")	0
$z7 = virtualinvoke r13.<java.lang.String: boolean equals(java.lang.Object)>("ProtocolHandler")	if $z7 == 0 goto $z9 = virtualinvoke r13.<java.lang.String: boolean equals(java.lang.Object)>("ThreadPool")	1
if $z7 == 0 goto $z9 = virtualinvoke r13.<java.lang.String: boolean equals(java.lang.Object)>("ThreadPool")	$r14 = r0.<org.apache.catalina.manager.StatusManagerServlet: java.util.Vector protocolHandlers>	0
if $z7 == 0 goto $z9 = virtualinvoke r13.<java.lang.String: boolean equals(java.lang.Object)>("ThreadPool")	$z9 = virtualinvoke r13.<java.lang.String: boolean equals(java.lang.Object)>("ThreadPool")	0
$r14 = r0.<org.apache.catalina.manager.StatusManagerServlet: java.util.Vector protocolHandlers>	virtualinvoke $r14.<java.util.Vector: boolean removeElement(java.lang.Object)>(r3)	1
virtualinvoke $r14.<java.util.Vector: boolean removeElement(java.lang.Object)>(r3)	goto [?= virtualinvoke r3.<javax.management.ObjectName: java.lang.String getKeyProperty(java.lang.String)>("j2eeType")]	0
goto [?= virtualinvoke r3.<javax.management.ObjectName: java.lang.String getKeyProperty(java.lang.String)>("j2eeType")]	virtualinvoke r3.<javax.management.ObjectName: java.lang.String getKeyProperty(java.lang.String)>("j2eeType")	0
$z9 = virtualinvoke r13.<java.lang.String: boolean equals(java.lang.Object)>("ThreadPool")	if $z9 == 0 goto $z11 = virtualinvoke r13.<java.lang.String: boolean equals(java.lang.Object)>("GlobalRequestProcessor")	1
if $z9 == 0 goto $z11 = virtualinvoke r13.<java.lang.String: boolean equals(java.lang.Object)>("GlobalRequestProcessor")	$r15 = r0.<org.apache.catalina.manager.StatusManagerServlet: java.util.Vector threadPools>	0
if $z9 == 0 goto $z11 = virtualinvoke r13.<java.lang.String: boolean equals(java.lang.Object)>("GlobalRequestProcessor")	$z11 = virtualinvoke r13.<java.lang.String: boolean equals(java.lang.Object)>("GlobalRequestProcessor")	0
$r15 = r0.<org.apache.catalina.manager.StatusManagerServlet: java.util.Vector threadPools>	virtualinvoke $r15.<java.util.Vector: boolean removeElement(java.lang.Object)>(r3)	1
virtualinvoke $r15.<java.util.Vector: boolean removeElement(java.lang.Object)>(r3)	goto [?= virtualinvoke r3.<javax.management.ObjectName: java.lang.String getKeyProperty(java.lang.String)>("j2eeType")]	0
goto [?= virtualinvoke r3.<javax.management.ObjectName: java.lang.String getKeyProperty(java.lang.String)>("j2eeType")]	virtualinvoke r3.<javax.management.ObjectName: java.lang.String getKeyProperty(java.lang.String)>("j2eeType")	0
$z11 = virtualinvoke r13.<java.lang.String: boolean equals(java.lang.Object)>("GlobalRequestProcessor")	if $z11 == 0 goto $z13 = virtualinvoke r13.<java.lang.String: boolean equals(java.lang.Object)>("RequestProcessor")	1
if $z11 == 0 goto $z13 = virtualinvoke r13.<java.lang.String: boolean equals(java.lang.Object)>("RequestProcessor")	$r16 = r0.<org.apache.catalina.manager.StatusManagerServlet: java.util.Vector globalRequestProcessors>	0
if $z11 == 0 goto $z13 = virtualinvoke r13.<java.lang.String: boolean equals(java.lang.Object)>("RequestProcessor")	$z13 = virtualinvoke r13.<java.lang.String: boolean equals(java.lang.Object)>("RequestProcessor")	0
$r16 = r0.<org.apache.catalina.manager.StatusManagerServlet: java.util.Vector globalRequestProcessors>	virtualinvoke $r16.<java.util.Vector: boolean removeElement(java.lang.Object)>(r3)	1
virtualinvoke $r16.<java.util.Vector: boolean removeElement(java.lang.Object)>(r3)	goto [?= virtualinvoke r3.<javax.management.ObjectName: java.lang.String getKeyProperty(java.lang.String)>("j2eeType")]	0
goto [?= virtualinvoke r3.<javax.management.ObjectName: java.lang.String getKeyProperty(java.lang.String)>("j2eeType")]	virtualinvoke r3.<javax.management.ObjectName: java.lang.String getKeyProperty(java.lang.String)>("j2eeType")	0
$z13 = virtualinvoke r13.<java.lang.String: boolean equals(java.lang.Object)>("RequestProcessor")	if $z13 == 0 goto virtualinvoke r3.<javax.management.ObjectName: java.lang.String getKeyProperty(java.lang.String)>("j2eeType")	1
if $z13 == 0 goto virtualinvoke r3.<javax.management.ObjectName: java.lang.String getKeyProperty(java.lang.String)>("j2eeType")	$r17 = r0.<org.apache.catalina.manager.StatusManagerServlet: java.util.Vector requestProcessors>	0
if $z13 == 0 goto virtualinvoke r3.<javax.management.ObjectName: java.lang.String getKeyProperty(java.lang.String)>("j2eeType")	virtualinvoke r3.<javax.management.ObjectName: java.lang.String getKeyProperty(java.lang.String)>("j2eeType")	0
$r17 = r0.<org.apache.catalina.manager.StatusManagerServlet: java.util.Vector requestProcessors>	virtualinvoke $r17.<java.util.Vector: boolean removeElement(java.lang.Object)>(r3)	1
virtualinvoke $r17.<java.util.Vector: boolean removeElement(java.lang.Object)>(r3)	virtualinvoke r3.<javax.management.ObjectName: java.lang.String getKeyProperty(java.lang.String)>("j2eeType")	0
virtualinvoke r3.<javax.management.ObjectName: java.lang.String getKeyProperty(java.lang.String)>("j2eeType")	return	0
