start	end	CRUD_Test
$r13 = interfaceinvoke r2.<javax.management.MBeanServer: java.lang.Object getAttribute(javax.management.ObjectName,java.lang.String)>(r1, "requestCount")	virtualinvoke r0.<java.io.PrintWriter: void print(java.lang.Object)>($r13)	1
virtualinvoke r0.<java.io.PrintWriter: void print(java.lang.Object)>($r13)	virtualinvoke r0.<java.io.PrintWriter: void print(java.lang.String)>(" Error count: ")	0
virtualinvoke r0.<java.io.PrintWriter: void print(java.lang.String)>(" Error count: ")	$r14 = interfaceinvoke r2.<javax.management.MBeanServer: java.lang.Object getAttribute(javax.management.ObjectName,java.lang.String)>(r1, "errorCount")	0
$r14 = interfaceinvoke r2.<javax.management.MBeanServer: java.lang.Object getAttribute(javax.management.ObjectName,java.lang.String)>(r1, "errorCount")	virtualinvoke r0.<java.io.PrintWriter: void print(java.lang.Object)>($r14)	1
virtualinvoke r0.<java.io.PrintWriter: void print(java.lang.Object)>($r14)	virtualinvoke r0.<java.io.PrintWriter: void print(java.lang.String)>(" Load time: ")	0
virtualinvoke r0.<java.io.PrintWriter: void print(java.lang.String)>(" Load time: ")	$r15 = interfaceinvoke r2.<javax.management.MBeanServer: java.lang.Object getAttribute(javax.management.ObjectName,java.lang.String)>(r1, "loadTime")	0
$r15 = interfaceinvoke r2.<javax.management.MBeanServer: java.lang.Object getAttribute(javax.management.ObjectName,java.lang.String)>(r1, "loadTime")	$r16 = staticinvoke <org.apache.catalina.manager.StatusTransformer: java.lang.String formatTime(java.lang.Object,boolean)>($r15, 0)	1
$r16 = staticinvoke <org.apache.catalina.manager.StatusTransformer: java.lang.String formatTime(java.lang.Object,boolean)>($r15, 0)	virtualinvoke r0.<java.io.PrintWriter: void print(java.lang.String)>($r16)	1
virtualinvoke r0.<java.io.PrintWriter: void print(java.lang.String)>($r16)	virtualinvoke r0.<java.io.PrintWriter: void print(java.lang.String)>(" Classloading time: ")	0
virtualinvoke r0.<java.io.PrintWriter: void print(java.lang.String)>(" Classloading time: ")	$r17 = interfaceinvoke r2.<javax.management.MBeanServer: java.lang.Object getAttribute(javax.management.ObjectName,java.lang.String)>(r1, "classLoadTime")	0
$r17 = interfaceinvoke r2.<javax.management.MBeanServer: java.lang.Object getAttribute(javax.management.ObjectName,java.lang.String)>(r1, "classLoadTime")	$r18 = staticinvoke <org.apache.catalina.manager.StatusTransformer: java.lang.String formatTime(java.lang.Object,boolean)>($r17, 0)	1
$r18 = staticinvoke <org.apache.catalina.manager.StatusTransformer: java.lang.String formatTime(java.lang.Object,boolean)>($r17, 0)	virtualinvoke r0.<java.io.PrintWriter: void print(java.lang.String)>($r18)	1
virtualinvoke r0.<java.io.PrintWriter: void print(java.lang.String)>($r18)	virtualinvoke r0.<java.io.PrintWriter: void print(java.lang.String)>("</p>")	0
virtualinvoke r0.<java.io.PrintWriter: void print(java.lang.String)>("</p>")	return	0
