start	end	CRUD_Test
$r15 = new java.lang.StringBuilder	specialinvoke $r15.<java.lang.StringBuilder: void <init>(java.lang.String)>("ManagerServlet.resources[")	1
specialinvoke $r15.<java.lang.StringBuilder: void <init>(java.lang.String)>("ManagerServlet.resources[")	$r16 = virtualinvoke $r15.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(r2)	0
$r16 = virtualinvoke $r15.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(r2)	$r17 = virtualinvoke $r16.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("]")	1
$r17 = virtualinvoke $r16.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("]")	$r18 = virtualinvoke $r17.<java.lang.StringBuilder: java.lang.String toString()>()	1
$r18 = virtualinvoke $r17.<java.lang.StringBuilder: java.lang.String toString()>()	virtualinvoke r0.<org.apache.catalina.manager.ManagerServlet: void log(java.lang.String,java.lang.Throwable)>($r18, r5)	1
virtualinvoke r0.<org.apache.catalina.manager.ManagerServlet: void log(java.lang.String,java.lang.Throwable)>($r18, r5)	$r19 = newarray (java.lang.Object)[1]	0
$r19 = newarray (java.lang.Object)[1]	$r20 = virtualinvoke r5.<java.lang.Throwable: java.lang.String toString()>()	1
$r20 = virtualinvoke r5.<java.lang.Throwable: java.lang.String toString()>()	$r19[0] = $r20	1
$r19[0] = $r20	$r21 = virtualinvoke r3.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String,java.lang.Object[])>("managerServlet.exception", $r19)	1
$r21 = virtualinvoke r3.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String,java.lang.Object[])>("managerServlet.exception", $r19)	virtualinvoke r1.<java.io.PrintWriter: void println(java.lang.String)>($r21)	1
virtualinvoke r1.<java.io.PrintWriter: void println(java.lang.String)>($r21)	return	0
$r22 = r0.<org.apache.catalina.manager.ManagerServlet: javax.naming.Context global>	virtualinvoke r0.<org.apache.catalina.manager.ManagerServlet: void printResources(java.io.PrintWriter,java.lang.String,javax.naming.Context,java.lang.String,java.lang.Class,org.apache.tomcat.util.res.StringManager)>(r1, "", $r22, r2, r4, r3)	1
virtualinvoke r0.<org.apache.catalina.manager.ManagerServlet: void printResources(java.io.PrintWriter,java.lang.String,javax.naming.Context,java.lang.String,java.lang.Class,org.apache.tomcat.util.res.StringManager)>(r1, "", $r22, r2, r4, r3)	return	0
