start	end	CRUD_Test
interfaceinvoke r5.<java.util.List: boolean addAll(java.util.Collection)>($r26)	$z3 = r4 instanceof org.apache.catalina.DistributedManager	0
$z3 = r4 instanceof org.apache.catalina.DistributedManager	if $z3 == 0 goto return r5	1
if $z3 == 0 goto return r5	$z4 = r0.<org.apache.catalina.manager.HTMLManagerServlet: boolean showProxySessions>	0
if $z3 == 0 goto return r5	return r5	0
$z4 = r0.<org.apache.catalina.manager.HTMLManagerServlet: boolean showProxySessions>	if $z4 == 0 goto return r5	1
if $z4 == 0 goto return r5	$r27 = (org.apache.catalina.DistributedManager) r4	0
if $z4 == 0 goto return r5	return r5	0
$r27 = (org.apache.catalina.DistributedManager) r4	r6 = interfaceinvoke $r27.<org.apache.catalina.DistributedManager: java.util.Set getSessionIdsFull()>()	1
r6 = interfaceinvoke $r27.<org.apache.catalina.DistributedManager: java.util.Set getSessionIdsFull()>()	r7 = interfaceinvoke r5.<java.util.List: java.util.Iterator iterator()>()	1
r7 = interfaceinvoke r5.<java.util.List: java.util.Iterator iterator()>()	goto [?= $z6 = interfaceinvoke r7.<java.util.Iterator: boolean hasNext()>()]	1
goto [?= $z6 = interfaceinvoke r7.<java.util.Iterator: boolean hasNext()>()]	$z6 = interfaceinvoke r7.<java.util.Iterator: boolean hasNext()>()	0
$r28 = interfaceinvoke r7.<java.util.Iterator: java.lang.Object next()>()	r8 = (org.apache.catalina.Session) $r28	1
r8 = (org.apache.catalina.Session) $r28	$r29 = interfaceinvoke r8.<org.apache.catalina.Session: java.lang.String getId()>()	1
$r29 = interfaceinvoke r8.<org.apache.catalina.Session: java.lang.String getId()>()	interfaceinvoke r6.<java.util.Set: boolean remove(java.lang.Object)>($r29)	1
interfaceinvoke r6.<java.util.Set: boolean remove(java.lang.Object)>($r29)	$z6 = interfaceinvoke r7.<java.util.Iterator: boolean hasNext()>()	0
$z6 = interfaceinvoke r7.<java.util.Iterator: boolean hasNext()>()	if $z6 != 0 goto $r28 = interfaceinvoke r7.<java.util.Iterator: java.lang.Object next()>()	1
if $z6 != 0 goto $r28 = interfaceinvoke r7.<java.util.Iterator: java.lang.Object next()>()	r30 = interfaceinvoke r6.<java.util.Set: java.util.Iterator iterator()>()	0
if $z6 != 0 goto $r28 = interfaceinvoke r7.<java.util.Iterator: java.lang.Object next()>()	$r28 = interfaceinvoke r7.<java.util.Iterator: java.lang.Object next()>()	0
r30 = interfaceinvoke r6.<java.util.Set: java.util.Iterator iterator()>()	goto [?= $z8 = interfaceinvoke r30.<java.util.Iterator: boolean hasNext()>()]	1
goto [?= $z8 = interfaceinvoke r30.<java.util.Iterator: boolean hasNext()>()]	$z8 = interfaceinvoke r30.<java.util.Iterator: boolean hasNext()>()	0
$r31 = interfaceinvoke r30.<java.util.Iterator: java.lang.Object next()>()	r32 = (java.lang.String) $r31	1
r32 = (java.lang.String) $r31	$r33 = new org.apache.catalina.manager.DummyProxySession	0
$r33 = new org.apache.catalina.manager.DummyProxySession	specialinvoke $r33.<org.apache.catalina.manager.DummyProxySession: void <init>(java.lang.String)>(r32)	1
specialinvoke $r33.<org.apache.catalina.manager.DummyProxySession: void <init>(java.lang.String)>(r32)	interfaceinvoke r5.<java.util.List: boolean add(java.lang.Object)>($r33)	0
interfaceinvoke r5.<java.util.List: boolean add(java.lang.Object)>($r33)	$z8 = interfaceinvoke r30.<java.util.Iterator: boolean hasNext()>()	0
$z8 = interfaceinvoke r30.<java.util.Iterator: boolean hasNext()>()	if $z8 != 0 goto $r31 = interfaceinvoke r30.<java.util.Iterator: java.lang.Object next()>()	1
if $z8 != 0 goto $r31 = interfaceinvoke r30.<java.util.Iterator: java.lang.Object next()>()	return r5	0
if $z8 != 0 goto $r31 = interfaceinvoke r30.<java.util.Iterator: java.lang.Object next()>()	$r31 = interfaceinvoke r30.<java.util.Iterator: java.lang.Object next()>()	0
