start	end	CRUD_Test
$r25 = staticinvoke <java.lang.Long: java.lang.Long valueOf(long)>($l2)	$r26 = staticinvoke <org.apache.catalina.manager.StatusTransformer: java.lang.String formatSize(java.lang.Object,boolean)>($r25, 1)	1
$r26 = staticinvoke <org.apache.catalina.manager.StatusTransformer: java.lang.String formatSize(java.lang.Object,boolean)>($r25, 1)	virtualinvoke r0.<java.io.PrintWriter: void print(java.lang.String)>($r26)	1
virtualinvoke r0.<java.io.PrintWriter: void print(java.lang.String)>($r26)	$r27 = new java.lang.StringBuilder	0
$r27 = new java.lang.StringBuilder	specialinvoke $r27.<java.lang.StringBuilder: void <init>(java.lang.String)>(" ")	1
specialinvoke $r27.<java.lang.StringBuilder: void <init>(java.lang.String)>(" ")	$r28 = r1[2]	0
$r28 = r1[2]	$r29 = virtualinvoke $r27.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.Object)>($r28)	1
$r29 = virtualinvoke $r27.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.Object)>($r28)	$r30 = virtualinvoke $r29.<java.lang.StringBuilder: java.lang.String toString()>()	1
$r30 = virtualinvoke $r29.<java.lang.StringBuilder: java.lang.String toString()>()	virtualinvoke r0.<java.io.PrintWriter: void print(java.lang.String)>($r30)	1
virtualinvoke r0.<java.io.PrintWriter: void print(java.lang.String)>($r30)	$r31 = staticinvoke <java.lang.Runtime: java.lang.Runtime getRuntime()>()	0
$r31 = staticinvoke <java.lang.Runtime: java.lang.Runtime getRuntime()>()	$l3 = virtualinvoke $r31.<java.lang.Runtime: long maxMemory()>()	1
$l3 = virtualinvoke $r31.<java.lang.Runtime: long maxMemory()>()	$r32 = staticinvoke <java.lang.Long: java.lang.Long valueOf(long)>($l3)	1
$r32 = staticinvoke <java.lang.Long: java.lang.Long valueOf(long)>($l3)	$r33 = staticinvoke <org.apache.catalina.manager.StatusTransformer: java.lang.String formatSize(java.lang.Object,boolean)>($r32, 1)	1
$r33 = staticinvoke <org.apache.catalina.manager.StatusTransformer: java.lang.String formatSize(java.lang.Object,boolean)>($r32, 1)	virtualinvoke r0.<java.io.PrintWriter: void print(java.lang.String)>($r33)	1
virtualinvoke r0.<java.io.PrintWriter: void print(java.lang.String)>($r33)	virtualinvoke r0.<java.io.PrintWriter: void print(java.lang.String)>("</p>")	0
virtualinvoke r0.<java.io.PrintWriter: void print(java.lang.String)>("</p>")	$r34 = new java.lang.StringBuilder	0
$r34 = new java.lang.StringBuilder	specialinvoke $r34.<java.lang.StringBuilder: void <init>(java.lang.String)>("<table border=\"0\"><thead><tr><th>")	1
specialinvoke $r34.<java.lang.StringBuilder: void <init>(java.lang.String)>("<table border=\"0\"><thead><tr><th>")	$r35 = r1[3]	0
$r35 = r1[3]	$r36 = virtualinvoke $r34.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.Object)>($r35)	1
$r36 = virtualinvoke $r34.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.Object)>($r35)	$r37 = virtualinvoke $r36.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("</th><th>")	1
$r37 = virtualinvoke $r36.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("</th><th>")	$r38 = r1[4]	1
$r38 = r1[4]	$r39 = virtualinvoke $r37.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.Object)>($r38)	1
$r39 = virtualinvoke $r37.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.Object)>($r38)	$r40 = virtualinvoke $r39.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("</th><th>")	1
$r40 = virtualinvoke $r39.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("</th><th>")	$r41 = r1[5]	1
$r41 = r1[5]	$r42 = virtualinvoke $r40.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.Object)>($r41)	1
$r42 = virtualinvoke $r40.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.Object)>($r41)	$r43 = virtualinvoke $r42.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("</th><th>")	1
$r43 = virtualinvoke $r42.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("</th><th>")	$r44 = r1[6]	1
$r44 = r1[6]	$r45 = virtualinvoke $r43.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.Object)>($r44)	1
$r45 = virtualinvoke $r43.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.Object)>($r44)	$r46 = virtualinvoke $r45.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("</th><th>")	1
$r46 = virtualinvoke $r45.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("</th><th>")	$r47 = r1[7]	1
$r47 = r1[7]	$r48 = virtualinvoke $r46.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.Object)>($r47)	1
$r48 = virtualinvoke $r46.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.Object)>($r47)	$r49 = virtualinvoke $r48.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("</th><th>")	1
$r49 = virtualinvoke $r48.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("</th><th>")	$r50 = r1[8]	1
$r50 = r1[8]	$r51 = virtualinvoke $r49.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.Object)>($r50)	1
$r51 = virtualinvoke $r49.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.Object)>($r50)	$r52 = virtualinvoke $r51.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("</th></tr></thead><tbody>")	1
$r52 = virtualinvoke $r51.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("</th></tr></thead><tbody>")	$r53 = virtualinvoke $r52.<java.lang.StringBuilder: java.lang.String toString()>()	1
$r53 = virtualinvoke $r52.<java.lang.StringBuilder: java.lang.String toString()>()	virtualinvoke r0.<java.io.PrintWriter: void write(java.lang.String)>($r53)	1
virtualinvoke r0.<java.io.PrintWriter: void write(java.lang.String)>($r53)	$r54 = interfaceinvoke r3.<java.util.SortedMap: java.util.Collection values()>()	0
$r54 = interfaceinvoke r3.<java.util.SortedMap: java.util.Collection values()>()	r55 = interfaceinvoke $r54.<java.util.Collection: java.util.Iterator iterator()>()	1
r55 = interfaceinvoke $r54.<java.util.Collection: java.util.Iterator iterator()>()	goto [?= $z1 = interfaceinvoke r55.<java.util.Iterator: boolean hasNext()>()]	1
