start	end	CRUD_Test
$r15 = virtualinvoke r3.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String,java.lang.Object[])>("managerServlet.noContext", $r12)	$r23 := @caughtexception	1
virtualinvoke r1.<java.io.PrintWriter: void println(java.lang.String)>($r15)	return	0
virtualinvoke r1.<java.io.PrintWriter: void println(java.lang.String)>($r15)	$r23 := @caughtexception	0
$r16 = interfaceinvoke r4.<org.apache.catalina.Context: java.lang.String getName()>()	$r17 = r0.<org.apache.catalina.manager.ManagerServlet: org.apache.catalina.Context context>	1
$r16 = interfaceinvoke r4.<org.apache.catalina.Context: java.lang.String getName()>()	$r23 := @caughtexception	1
$r17 = r0.<org.apache.catalina.manager.ManagerServlet: org.apache.catalina.Context context>	$r18 = interfaceinvoke $r17.<org.apache.catalina.Context: java.lang.String getName()>()	1
$r17 = r0.<org.apache.catalina.manager.ManagerServlet: org.apache.catalina.Context context>	$r23 := @caughtexception	1
$r18 = interfaceinvoke $r17.<org.apache.catalina.Context: java.lang.String getName()>()	$z1 = virtualinvoke $r16.<java.lang.String: boolean equals(java.lang.Object)>($r18)	1
$r18 = interfaceinvoke $r17.<org.apache.catalina.Context: java.lang.String getName()>()	$r23 := @caughtexception	1
$z1 = virtualinvoke $r16.<java.lang.String: boolean equals(java.lang.Object)>($r18)	if $z1 == 0 goto interfaceinvoke r4.<org.apache.catalina.Context: void reload()>()	1
$z1 = virtualinvoke $r16.<java.lang.String: boolean equals(java.lang.Object)>($r18)	$r23 := @caughtexception	1
if $z1 == 0 goto interfaceinvoke r4.<org.apache.catalina.Context: void reload()>()	$r19 = virtualinvoke r3.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String)>("managerServlet.noSelf")	0
if $z1 == 0 goto interfaceinvoke r4.<org.apache.catalina.Context: void reload()>()	interfaceinvoke r4.<org.apache.catalina.Context: void reload()>()	0
