,target_c,targetFQCN_c,teaching_c,step_c,ccna_c,idau_c,edge_dencity_c,graph_degree_c,eccentricity_centrality_c,centralization_c,page_rank_c,bonpow_c,betweenness_c
11,org.apache.catalina.manager.host.HostManagerServlet_stop,org.apache.catalina.manager.host.HostManagerServlet,9,73,14,0.547945205,0.019301957,0.855631941,9.29E-08,24378.55,0.015477932,0.159632626,43857.51983
12,org.apache.catalina.manager.HTMLManagerServlet_deployInternal,org.apache.catalina.manager.HTMLManagerServlet,10,13,0,0.307692308,0.071428571,0.131868132,3.64E-06,58685.96591,0.058138663,0.079861998,224
13,org.apache.catalina.manager.HTMLManagerServlet_displaySessionDetailPage,org.apache.catalina.manager.HTMLManagerServlet,2,15,0,0.266666667,0.0625,0.116666667,2.05E-06,55438.99664,0.052170143,0.069245463,380.8
14,org.apache.catalina.manager.HTMLManagerServlet_doGet,org.apache.catalina.manager.HTMLManagerServlet,3,72,27,0.458333333,0.021476104,1.058681186,2.01E-07,25627.64046,0.016561182,0.13621066,42472.67393
15,org.apache.catalina.manager.HTMLManagerServlet_doPost,org.apache.catalina.manager.HTMLManagerServlet,4,73,32,0.452054795,0.022222222,1.096296296,1.96E-07,26651.77953,0.01744895,0.115434342,68240.28148
16,org.apache.catalina.manager.HTMLManagerServlet_doSessions,org.apache.catalina.manager.HTMLManagerServlet,4,65,12,0.538461538,0.017759563,0.149180328,6.33E-08,24679.27073,0.015668333,0.079539355,58636.68197
17,org.apache.catalina.manager.HTMLManagerServlet_expireSessions,org.apache.catalina.manager.HTMLManagerServlet,20,20,4,0.4,0.065359477,0.653594771,7.98E-06,52531.85586,0.047642851,0.234030175,446.7712418
18,org.apache.catalina.manager.HTMLManagerServlet_findleaks,org.apache.catalina.manager.HTMLManagerServlet,30,26,5,0.384615385,0.043333333,0.243333333,8.06E-07,44382.94027,0.035702911,0.107081727,2818.473333
19,org.apache.catalina.manager.HTMLManagerServlet_getComparator,org.apache.catalina.manager.HTMLManagerServlet,20,82,29,0.5,0.017788462,1.109615385,1.84E-07,23518.79561,0.015021021,0.100845535,42818.975
20,org.apache.catalina.manager.HTMLManagerServlet_getSessionForNameAndId,org.apache.catalina.manager.HTMLManagerServlet,20,19,7,0.421052632,0.062091503,0.339869281,6.41E-06,26971.61862,0.047311325,0.175333305,694.3300654
21,org.apache.catalina.manager.HTMLManagerServlet_getSessionsForName,org.apache.catalina.manager.HTMLManagerServlet,5,70,20,0.5,0.017361111,0.25,6.97E-09,12793.49691,0.014940517,0.122083356,38056.1746
22,org.apache.catalina.manager.HTMLManagerServlet_init,org.apache.catalina.manager.HTMLManagerServlet,20,7,0,0.714285714,0.125,0.214285714,4.36E-05,71185.61538,0.087446065,0.147861722,24
23,org.apache.catalina.manager.HTMLManagerServlet_invalidateSessions,org.apache.catalina.manager.HTMLManagerServlet,40,58,17,0.448275862,0.031561462,2.470653378,7.51E-07,16171.6983,0.022003741,0.20461891,72839.04873
24,org.apache.catalina.manager.HTMLManagerServlet_list,org.apache.catalina.manager.HTMLManagerServlet,2,3,0,0.333333333,0.002327935,0.214517062,9.04E-12,4561.685672,0.002179092,0.071156537,83799426.88
25,org.apache.catalina.manager.HTMLManagerServlet_reload,org.apache.catalina.manager.HTMLManagerServlet,30,11,0,0.363636364,0.083333333,0.151515152,7.11E-06,62335.86452,0.065588469,0.094322673,121.3333333
26,org.apache.catalina.manager.HTMLManagerServlet_removeSessionAttribute,org.apache.catalina.manager.HTMLManagerServlet,32,42,10,0.476190476,0.029871977,0.278805121,5.00E-08,34452.59774,0.02440829,0.14353282,3856.07468
27,org.apache.catalina.manager.HTMLManagerServlet_sessions,org.apache.catalina.manager.HTMLManagerServlet,21,12,0,0.333333333,0.076923077,0.141025641,5.02E-06,60456.01512,0.06164782,0.086492178,166.8333333
28,org.apache.catalina.manager.HTMLManagerServlet_start,org.apache.catalina.manager.HTMLManagerServlet,2,11,0,0.363636364,0.083333333,0.151515152,7.11E-06,62335.86452,0.065588469,0.094322673,121.3333333
29,org.apache.catalina.manager.HTMLManagerServlet_stop,org.apache.catalina.manager.HTMLManagerServlet,2,11,0,0.363636364,0.083333333,0.151515152,7.11E-06,62335.86452,0.065588469,0.094322673,121.3333333
30,org.apache.catalina.manager.HTMLManagerServlet_undeploy,org.apache.catalina.manager.HTMLManagerServlet,2,11,0,0.363636364,0.083333333,0.151515152,7.11E-06,62335.86452,0.065588469,0.094322673,121.3333333
31,org.apache.catalina.manager.HTMLManagerServlet_upload,org.apache.catalina.manager.HTMLManagerServlet,19,151,38,0.569536424,0.029192547,47.10062112,2.91E-07,22213.11389,0.014385275,0.117643869,76056.48905
32,org.apache.catalina.manager.ManagerServlet_addServiced,org.apache.catalina.manager.ManagerServlet,11,11,0,0.636363636,0.083333333,0.151515152,7.11E-06,62335.86452,0.065588469,0.094322673,121.3333333
33,org.apache.catalina.manager.ManagerServlet_check,org.apache.catalina.manager.ManagerServlet,10,11,0,0.636363636,0.083333333,0.151515152,7.11E-06,62335.86452,0.065588469,0.094322673,121.3333333
34,org.apache.catalina.manager.ManagerServlet_copy,org.apache.catalina.manager.ManagerServlet,30,24,7,0.541666667,0.114285714,3.314285714,4.64E-05,57016.39305,0.057211816,0.228176951,98.37380952
35,org.apache.catalina.manager.ManagerServlet_copyInternal,org.apache.catalina.manager.ManagerServlet,23,137,48,0.357664234,0.025150905,7.595975855,1.02E-07,11196.45785,0.013608129,0.405614717,510715.2927
36,org.apache.catalina.manager.ManagerServlet_deploy,org.apache.catalina.manager.ManagerServlet,22,343,85,0.513119534,0.012379897,59.89874353,9.80E-09,5606.613998,0.006044717,0.308786516,2151009.571
37,org.apache.catalina.manager.ManagerServlet_destroy,org.apache.catalina.manager.ManagerServlet,1,NA,1,NA,0.5,0,0.125,90410.05714,0.105570945,1,0
38,org.apache.catalina.manager.ManagerServlet_doGet,org.apache.catalina.manager.ManagerServlet,3,134,62,0.350746269,0.012938596,2.250877193,2.75E-08,17236.72357,0.010255431,0.112203176,504401.0236
39,org.apache.catalina.manager.ManagerServlet_doPut,org.apache.catalina.manager.ManagerServlet,5,44,13,0.454545455,0.029689609,0.406207827,2.29E-07,33869.54174,0.023862305,0.111611375,16296.33333
40,org.apache.catalina.manager.ManagerServlet_expireSessions,org.apache.catalina.manager.ManagerServlet,6,21,4,0.333333333,0.061403509,0.619883041,6.11E-06,51189.50569,0.045465503,0.226282108,611.9239766
41,org.apache.catalina.manager.ManagerServlet_findleaks,org.apache.catalina.manager.ManagerServlet,7,39,14,0.435897436,0.034759358,0.395721925,1.00E-06,18911.12019,0.027147803,0.131335623,5775.412656
42,org.apache.catalina.manager.ManagerServlet_getWrapper,org.apache.catalina.manager.ManagerServlet,1,2,0,0.5,0.333333333,0.333333333,0.006944444,86519.99351,0.125158047,0.508196721,0.333333333
43,org.apache.catalina.manager.ManagerServlet_init,org.apache.catalina.manager.ManagerServlet,6,100,24,0.62,0.013679891,0.45745554,8.09E-09,9695.46739,0.011247607,0.129235323,375622.7592
44,org.apache.catalina.manager.ManagerServlet_isServiced,org.apache.catalina.manager.ManagerServlet,10,13,0,0.769230769,0.071428571,0.131868132,3.64E-06,58685.96591,0.058138663,0.079861998,224
45,org.apache.catalina.manager.ManagerServlet_list,org.apache.catalina.manager.ManagerServlet,1,65,12,0.661538462,0.017759563,0.215846995,1.43E-07,12664.65491,0.015674071,0.07229666,205170.7552
46,org.apache.catalina.manager.ManagerServlet_printResources,org.apache.catalina.manager.ManagerServlet,1,99,19,0.535353535,0.029761905,19.94047619,1.09E-07,13268.22956,0.017084963,0.157850623,61938.1886
47,org.apache.catalina.manager.ManagerServlet_reload,org.apache.catalina.manager.ManagerServlet,5,83,12,0.626506024,0.027946128,10.46262626,2.12E-07,26651.77953,0.017500613,0.179329755,25060.95152
48,org.apache.catalina.manager.ManagerServlet_removeServiced,org.apache.catalina.manager.ManagerServlet,6,11,0,0.636363636,0.083333333,0.151515152,7.11E-06,62335.86452,0.065588469,0.094322673,121.3333333
49,org.apache.catalina.manager.ManagerServlet_resources,org.apache.catalina.manager.ManagerServlet,6,54,14,0.444444444,0.024976873,0.431082331,2.03E-07,29830.49161,0.020059616,0.164832882,19493.95005
