step_c,ccna_c,idau_c,edge_dencity_c,graph_degree_c,eccentricity_centrality_c,centralization_c,page_rank_c,bonpow_c,betweenness_c,teaching_c
68,4,0.367647059,0.039488966,14.47851336,4.13E-07,32232.99016,0.022864876,0.137906939,6312.499419,1
46,4,0.695652174,0.027439024,0.41097561,1.90E-07,32760.65847,0.022775359,0.123575952,12009.28049,1
85,13,0.611764706,0.026315789,9.265037594,1.50E-07,25960.16474,0.016866412,0.175781204,38349.91541,1
79,11,0.620253165,0.028664731,9.13425254,2.47E-07,27381.23768,0.01811047,0.176890212,23445.1865,1
8,0,0.25,0.111111111,0.194444444,2.55E-05,68746.44841,0.080852189,0.129488955,38.5,1
273,46,0.56043956,0.019339418,79.87541649,4.03E-08,14489.78811,0.008508075,0.19507975,385786.1932,1
26,11,0.461538462,0.051383399,0.383399209,2.37E-06,23803.75641,0.038414447,0.171899688,3966.08498,1
139,38,0.366906475,0.027364185,16.08531187,3.47E-08,11164.27507,0.013685639,0.387830547,78503.67297,1
22,8,0.409090909,0.057894737,0.378947368,2.21E-06,49913.93927,0.043361892,0.187008937,557.0815789,1
8,0,0.25,0.111111111,0.194444444,2.55E-05,68746.44841,0.080852189,0.129488955,38.5,1
37,12,0.459459459,0.036290323,0.451612903,6.11E-07,38420.63294,0.02867026,0.14293537,2494.345766,1
17,1,0.470588235,0.128787879,2.151515152,4.42E-05,62335.86452,0.067876313,0.219457103,31.21969697,1
436,27,0.862385321,0.005096077,56.7151807,1.14E-10,4457.975782,0.003416947,0.140172677,52686349.09,1
70,33,0.357142857,0.023584906,0.791001451,5.69E-07,27381.23768,0.01821231,0.112629771,11220.93687,1
145,21,0.662068966,0.026126126,56.57657658,3.50E-07,14160.65103,0.013773537,0.060656336,213379.2725,1
36,9,0.361111111,0.040640394,1.064039409,1.19E-06,20815.2277,0.031620184,0.343214158,6918.957057,1
35,20,0.2,0.047692308,0.966153846,2.61E-06,22186.83808,0.035267117,0.197969429,7459.38,1
19,5,0.578947368,0.062091503,0.45751634,5.28E-06,52531.85586,0.047964134,0.13944332,338.2647059,1
45,11,0.577777778,0.026132404,0.418118467,4.57E-08,32232.99016,0.022234354,0.130988621,11687.5029,1
29,7,0.620689655,0.038359788,0.513227513,2.90E-07,41615.43108,0.032243226,0.158591261,1716.321429,1
NA,1,NA,0.160714286,0.5,0.000289525,71185.61538,0.089611917,0.270108697,13.92857143,1
8,2,0.25,0.142857143,0.285714286,0.000196434,71185.61538,0.08786965,0.210844274,20.28571429,1
19,2,0.052631579,0.004047303,0.628470246,4.86E-11,5151.853063,0.003925776,0.162192992,19606553.11,1
